config,runs,seed_values,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,fpr_mean,fpr_std,fpr_ci95,p95_ms_mean,p95_ms_std,p95_ms_ci95
ALL,3,20260703;20260704;20260705,0.8823529411764706,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.97607,0.05299488619668885,0.05996935915021051
ALL_MINUS_D1,3,20260703;20260704;20260705,0.8823529411764706,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.9262503333333333,0.011797519753462276,0.013350150362645492
ALL_MINUS_D2,3,20260703;20260704;20260705,0.8823529411764706,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,1.0048886666666665,0.1080326956265247,0.1222505035664597
ALL_MINUS_D3,3,20260703;20260704;20260705,0.8823529411764706,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.942806,0.04145777342067472,0.04691388702308096
ALL_MINUS_D4,3,20260703;20260704;20260705,0.5294117647058824,0.0,0.0,0.5294117647058824,0.0,0.0,1.0,0.0,0.0,0.6923076923076924,0.0,0.0,1.0,0.0,0.0,0.883875,0.040762076431408674,0.046126631768787715
ALL_MINUS_D5,3,20260703;20260704;20260705,0.8823529411764706,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.938264,0.08735195311497046,0.09884804034452882
ALL_MINUS_D6,3,20260703;20260704;20260705,0.7058823529411765,0.0,0.0,0.75,0.0,0.0,0.6666666666666666,0.0,0.0,0.7058823529411765,0.0,0.0,0.25,0.0,0.0,0.9576386666666667,0.07008190113241317,0.07930513678887417
ALL_MINUS_D7,3,20260703;20260704;20260705,0.8823529411764706,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.8220833333333334,0.026285708518762274,0.02974507934272898
D3_D4_ONLY,3,20260703;20260704;20260705,0.7058823529411765,0.0,0.0,0.75,0.0,0.0,0.6666666666666666,0.0,0.0,0.7058823529411765,0.0,0.0,0.25,0.0,0.0,0.6827223333333333,0.030954863500479775,0.03502872559847103
NO_DEFENSE,3,20260703;20260704;20260705,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5322643333333333,0.020957905342217156,0.02371610249032035
